gene_id,SRR9654972,SRR9654980,SRR9654983,SRR9654984,SRR9654985,SRR9654987,SRR9654988,SRR9654989,SRR9654990,SRR9654993,SRR9654994,SRR9654995,SRR9654996,SRR9654997,SRR9654998,SRR9655000,SRR9655004,SRR9655005,SRR9655008,SRR9655009,SRR9655010,SRR9655012,SRR9655013,SRR9655014,SRR9655015,SRR9655018,SRR9655019,SRR9655020,SRR9655021,SRR9655022,SRR9655023,SRR9655025,SRR9655029,SRR9655030
K09154,1,44,0,0,0,3,84,0,46,0,0,0,0,0,0,0,0,5,16,0,1,0,78,50,88,0,40,2,0,15,38,21,103,24
K09155,17,368,22,292,175,263,3,223,38,24,145,40,37,50,17,92,74,21,35,576,151,1358,13,331,37,52,16,91,1,152,83,46,68,149
K09157,526,3375,1650,1840,2047,678,2401,2307,2612,1213,1710,1217,991,1572,5657,2232,1519,782,2056,2245,1075,1138,1472,868,1111,2140,1083,2010,1540,1590,2021,901,1364,1783
K09158,608,1,0,2,0,355,0,0,11,2,0,0,1,62,0,0,9,0,2,19,247,254,0,111,29,3,127,1,25,11,1,0,0,0
K09159,659,5,0,0,0,275,0,0,16,0,3,1,0,68,0,0,5,0,5,13,268,176,0,104,8,1,107,0,19,7,0,0,1,0
K09160,577,13,43,0,1,349,1,0,44,0,107,0,0,82,0,10,0,3,47,17,240,137,0,87,3,0,113,7,15,7,1,0,0,0
K09161,660,3,0,0,0,360,0,0,19,0,1,0,0,65,0,19,27,2,56,23,219,235,0,104,39,195,129,0,15,9,0,0,0,0
K09163,194,303,354,364,381,242,658,488,927,163,276,161,58,297,364,367,178,127,399,92,66,41,224,219,252,399,237,123,1288,248,135,199,445,278
K09164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09165,0,278,0,0,194,2,243,0,665,1,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,1,4,583,4,0,147,3,0
K09167,23,19,30,22,30,7,34,60,94,23,23,38,49,36,40,29,46,15,115,30,3,16,681,40,52,37,28,22,19,52,43,79,78,70
K09181,668,0,0,0,0,153,0,0,13,0,0,0,0,39,0,0,0,0,6,13,182,40,0,85,24,0,21,0,13,3,0,0,0,0
K09184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09251,605,30,21,18,5,343,5,14,39,34,17,9,0,63,24,110,27,8,75,47,212,183,4,106,169,32,211,7,15,34,1,3,2,5
K09252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09384,16,1082,152,402,8,119,47,80,136,60,90,15,269,54,246,74,324,387,234,24,84,48,160,300,112,544,42,75,354,32,515,28,10,5
K09386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09388,0,0,14,0,0,1,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,11,6,0,4,0,15,0,0
K09413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09456,799,2,0,1,0,336,0,0,40,0,2,0,0,84,0,0,22,0,14,36,279,481,0,122,65,12,239,3,16,10,0,0,0,0
K09457,138,102,145,438,237,268,215,367,145,470,270,242,153,92,119,136,275,339,184,352,82,34,203,413,225,291,118,77,84,160,178,291,465,231
K09458,626,351,527,1084,1195,609,1313,786,523,602,795,491,258,1207,652,946,487,463,683,987,518,2443,1058,500,706,694,417,893,408,797,598,887,840,1101
K09459,0,0,2,0,0,28,42,5,1,12,13,4,0,0,51,15,0,17,27,5,6,0,131,0,13,0,33,5,25,112,0,22,29,33
K09461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09469,0,0,0,0,0,6,0,0,0,3,1,3,0,0,0,0,0,0,0,0,1,0,94,0,1,0,0,1,0,101,0,0,0,34
K09470,272,0,0,0,0,4,0,0,6,0,0,0,0,46,0,0,0,0,7,7,177,183,0,80,9,0,0,0,8,3,0,0,0,0
K09471,743,3,0,0,0,12,0,0,9,1,0,0,0,41,1,0,0,1,10,51,181,530,0,91,18,0,0,1,16,5,0,0,0,0
K09472,52,1,0,0,0,7,0,0,0,0,0,0,0,2,0,0,14,0,3,38,6,233,0,49,30,0,23,0,0,1,0,0,0,0
K09473,450,0,0,0,0,8,0,0,3,0,0,0,0,34,0,0,15,0,2,20,147,225,0,55,27,0,0,0,10,0,0,0,0,0
K09474,0,0,21,0,1,39,2,23,0,114,65,7,0,0,155,32,35,149,116,74,48,167,22,7,11,0,36,2,0,31,32,0,0,0
K09475,221,2,0,0,0,217,0,0,3,0,0,0,0,39,0,0,0,0,0,11,132,314,0,22,6,0,2,0,3,3,0,0,0,0
K09476,349,2,0,1,0,671,0,0,13,0,0,0,0,4,0,0,0,0,1,2,44,480,0,85,11,0,87,0,5,2,0,0,0,0
K09477,618,2,0,1,0,290,0,0,13,0,2,0,0,68,0,0,0,0,3,11,249,159,0,93,5,0,121,0,14,4,0,0,0,0
